"ResourceTypeGeneral","ResourceType","Count"
"text","a threegeneration family with autosomal dominant ad ais",1
"text","a threeweek intermittent fasting intervention performed on chinese population shotgun metagenomic sequencing was performed before and after the intervention",1
"text","a total of 10 deepsea coral samples were collected at depths ranging from 900 m to 1640 m by the manned submersible shenhai yongshi during two cruises in the scs",1
"text","a total of 101 elymus sibiricus accessions under normal conditions were sequenced",1
"text","a total of 107 paired icc tumours from asian population were sequenced",1
"text","a total of 12 cotton samples were measured using the bgiseq500 platform and each sample produced 643 gb data on average",1
"text","a total of 18 elymus excelsus accessions were performed to genome skimming sequencing",1
"text","a total of 18 water  samples were taken from the raw wastewater effluent of secondary sedimentation tank denitrifying biofilter uv disinfection and constructed wetland as well as receiving river water  for three times in december 2019 for a period of three consecutive days in nanjing city jiangsu province china all the raw metagenomic datasets and 16s rrna amplicon sequences  have been deposited into this project",1
"text","a total of 24 samples were collected from 4 typical cognitively related brain regions namely primary motor cortex primary visual cortex dorsolateral prefrontal cortex and thalamus from 7 macaque monkeys of different ages to help analyze important genes and biological processes associated with consistent and specific changes in each brain region during different life processes",1
"text","a total of 30 elymus dahuricus accessions were performed for genome skimming sequencing",1
"text","a total of 31 samples and a total of 31 dna samples were subjected to highthroughput sequencing where females were divided into low concentratio bpaf  medium concentration bpaf high concentration bpaf four groups and respectively renamed as cf lf mf hf group each group of four parallel a total of 16 samples males were divided into three groups  revived named cm lm mm group each group of five parallel a total of 15 samples",1
"text","a total of 45 samples under nine different treatments of tuta absoluta were subjected to fulllength 16s rrna sequencing",1
"text","abschlussberichtfinal report",1
"text","abschlussberichtforschungsbericht",1
"text","abstract

this study investigates the genetic underpinnings of three rare congenital disorders donnaibarrow syndrome dbs congenital disorders of glycosylation cdg and c syndrome in the chinese population we employed whole exome sequencing wes to analyze fetuses from three separate families all of which presented significant congenital abnormalities and had no reported family history of genetic diseases 

in the first case we identified two novel variants in the lrp2 gene c11177ga parg3726his and c3114ga in a fetus with exencephaly and brain structural abnormalities indicative of donnaibarrow syndrome these variants were inherited from phenotypically normal parents with each parent contributing one variant functional assays confirmed reduced lrp2 expression at both the rna and protein levels and 3d modeling suggested potential disruptions to protein function

the second case involved a fetus diagnosed with cdg exhibiting cleft lip and palate occult spina bifida and renal abnormalities wes revealed two novel variants in the fcsk gene c655ga pval219met and c13411gc with one variant inherited from each parent subsequent analyses showed decreased fcsk expression and predicted loss of protein functionality due to structural changes

in the third case a fetus presenting with trigonocephaly heart malformation and polydactyly was found to carry a de novo variant in the cd96 gene c382ct pgln128 leading to a truncated protein and significant loss of function 

these findings highlight the utility of wes in identifying novel genetic variants in rare congenital disorders and provide crucial insights into the molecular basis of these conditions our study underscores the importance of genetic screening in early diagnosis and management of such disorders",1
"text","abstract background and purpose neonatal hyperbilirubinemia also known as neonatal jaundice is a common and frequent clinical condition with a complex etiology that can lead to brain damage in severe cases early recognition of hyperbilirubinemia and timely intervention and treatment can help reduce the occurrence of sequelae this study was conducted to identify whether the gut microbiota composition can distinguish neonates with hyperbilirubinemia methods meconium samples were collected from 69 neonates with neonatal jaundice nj and 69 age and sexmatched neonates without clinically significant jaundice healthy controls hcs for 16s rrna gene sequencing and microbiome analysis results compared with hcs the chao 1 richness index of the gut microbiota was significantly decreased in the nj group the relative abundance of the probiotic gut bacterium lactobacillus was significantly lower in the nj group than in the hc group whereas the abundances of potentially harmful gut bacteria such as escherichia coli and staphylococcus were significantly higher in the nj group than in hcs correlation of the gut microbiota and clinical indicators revealed a positive correlation between escherichia colistaphylococcus and serum total bilirubin levels finally the results of a random forest machinelearning method to evaluate the possibility of using njassociated gut microbiota compositions as potential nj biomarkers revealed an area under the curve of 9688 conclusions the abundances of escherichia coli and staphylococcus were positively correlated with serum total bilirubin levels hence the gut microbiota composition is a potential biomarker of nj",1
"text","abstract book",1
"text","abstract geoutrecht2020",1
"text","abstract this article reviews recent literature on music protest and social movements its principal focus is on englishlanguage research being conducted in north america and the united kingdom dispersed across such disciplines as music studies social movement studies anthropology political science sociology and area studies among others four recent trends are highlighted work that stresses the importance of affect to musics political efficacy studies addressing the soundscapes of protest events including the tactical use of noise and silence by activists research on media ecosystems with a particular emphasis on online and social medias impact on protest movements and work that throws into relief the contradictory and ambivalent effects of protest musicking by drawing attention to these areas of common concern the article aims to foster dialogue among scholars working in different disciplinary spaces as a way of mapping the terrain where a future protest music studies might take root and flourish",1
"text","academic journal",1
"text","academic thesis research report",1
"text","academic thesisresearch report",1
"text","academicarticle",1
"text","according to the original data obtained by cahz16 after chip experiment the fusion proteins of cahz16 and gfp were overexpressed in pepper leaves by transient overexpression and the dna fragments were obtained by immunoprecipitation with gfp antibody",1
"text","according to the original data obtained by cakan3 and cahsf8 after chip experiment the fusion proteins of cakan3 or cahsf8 and gfp were overexpressed in pepper leaves by transient overexpression and the dna fragments were obtained by immunoprecipitation with gfp antibody",1
"text","accurate identification of tumorspecific antigens tsas is crucial for the development of effective cancer immunotherapies tsas including those originating from mutations and other unique presentations on tumor cells by the major histocompatibility complex mhc have shown promise in clinical trials however conventional shortread sequencing techniques often fail to capture novel transcripts and unannotated open reading frames orfs potentially missing critical tsas in this study we present an innovative proteogenomic strategy that integrates longread sequencing technology with messenger rna sequencing mrnaseq and ribosome nascentchain complexbound rna sequencing rncseq our research demonstrates that noncanonical transcripts and orfs are significant sources of tumor immunoepitopes highlighting that the combination of longread sequencing and rncseq can reveal novel epitopes overlooked by traditional methods thereby enhancing the efficacy of cancer immunotherapy",1
"text","accurate variant calling from 13 formalinfixed paraffinembedded ffpe breast tumor samples and 13 corresponding frozen samples for individualized cancer care using lowdepth whole exome sequencing",1
"text","acipenser sinensis draft genome",1
"text","acipenser sinensis genome assembly",1
"text","acquiring of basic information of transcriptome of lily tissues and development of ssr markers  sample is a mixture of equal amounts of rna from basal roots scales leaves epidermis tepals and stigmas",1
"text","acronyms",1
"text","actes du colloque geofcan 2021",1
"text","actinomycetes represent a highly diverse microbial group that plays a pivotal role in the development of antibiotics and other bioactive secondary metabolites recent advances in genome mining technologies have unveiled numerous biosynthetic gene clusters bgcs in actinomycete genomes that remain unactivated highlighting their untapped potential for bioactivity to explore this potential we employed highthroughput sequencing to generate highquality genome sequences for 211 actinomycete strains isolated from diverse environmental samples these assembled genomes demonstrated excellent completeness and accuracy genome analysis predicted a total of 5348 bgcs including many clusters associated with unknown products we anticipate that the public sharing of these genome data will provide a valuable resource for the comprehensive evaluation of actinomycetes metabolic potential thereby accelerating the discovery of novel antimicrobial agents",1
"text","acute hypoxia treatment normoxia group and treatment group 1 each group 6 in each group the water in the treatment group was filled with nitrogen to remove oxygen chronic hypoxia treatment normoxia group and treatment group 1 normoxia group 6 treatment group 18 the water in the treatment group was filled with nitrogen and removed oxygen for 168 hours during which 6 samples were taken at 24 hours 96 hours and 168 hours respectively while the control group was maintained in normoxia by oxygen pump",1
"text","acute pancreatitis ap is a type of digestive system disease with high mortality previous studies have shown that gut microbiota can participate in the development and treatment of acute pancreatitis by affecting the hosts metabolism in this study we followed 20 ap patients to generate longitudinal gut microbiota profiles and activity during disease before treatment on the third day of treatment and one month after discharge",1
"text","additional material questionnaires",1
"text","adhd is a mental health disorder that includes attention hyperactivity and impulsive problems recent studies have reported that gut microbiota may be associated with psychiatric disorders such as schizophrenia depression  in order to reveal the role of the gut microbiota in adhd pathogensis metagenomic sequencing data of adhd patients and healthy controls was preformed and microbial diversity composition and functions of microbiota were analyzed",1
"text","adherence to a lowgluten diet has become increasingly common in parts of the general population however the effects of reducing glutenrich food items including wheat barley and rye cereals in healthy adults are unclear here we undertook a randomised controlled crossover trial involving 60 middleaged danish adults without known disorders with two 8week interventions comparing a lowgluten diet 2 g gluten per day and a highgluten diet 18 g gluten per day separated by a washout period of at least six weeks with habitual diet 12 g gluten per day we find that in comparison with a highgluten diet a lowgluten diet induces moderate changes in the intestinal microbiome reduces fasting and postprandial hydrogen exhalation and leads to improvements in selfreported bloating these observations suggest that most of the effects of a lowgluten diet in noncoeliac adults may be driven by qualitative changes in dietary fibres",1
"text","adult zebrafish robustly regenerate injured hearts through a complex orchestration of various cell types and a multitude of molecules here we utilized singlecell rnasequencing scrnaseq and stereoseq to construct a spatiallyresolved cell dataset of regenerating zebrafish hearts across eight time points",1
"text","advantages and disadvantages of distance learning during covid19 pandemic from the perspective of teachers",1
"text","aerobic pinkpigmented budding and rosetteforming covered with crateriform pits possessed long and unusually thick stalks of a unique ultrastructure moderately acidophilic mesophilic",1
"text","affiche",1
"text","after 7 days of continuous gavage of c57bl6 mice using bifidobacterium adolescentis 2108 cfu feces were collected for metabolomics",1
"text","after exposure to 30mgl or 60mgl ammonia nitrogen for 48 h hepatopancreas tissue was removed for transcriptome sequencing",1
"text","after grafting cuiguan onto the rootstock duli and the dwarf rootstock quince the shoots were significantly different so the transcriptome sequencing of different branches was carried out",1
"text","after sciatic nerve crush peripheral axons of motoneurons could initiate regeneration for axon growth and reinnervation of neuromuscular junctions to understand dynamic molecules of individual motoneurons mns niches in situ responding sciatic nerve crush 05h 3h 12h 1d 3d and 7d we employed laser capture microdissection to obtain chat cells from rat lumbar spinal cord l45 coupled with smartseq2 in highcoverage depth lcmseq bioinformatic analyses and immunostaining of atf3 showed partly injured mns comparison of injured and regenerating mns with the intact andor naïve reveals numerous genes expressed or secreted by injured and regenerating to activate or enhance intrinsic axon growth or crosstalk with other cellular or noncellular counterpart specifically microgliamacrophage our study not only provides a vital and comprehensive resource but also critical molecules for survival and axonal regeneration of axotomized motoneuron",1
"text","agamid lizards agamids also known as dragon lizards or dragons belong to a speciesrich squamate family found on all nonpolar continents except the americas agamids emerged approximately 70120 million years ago and are recognised as an example of adaptive radiations that correlate with major biogeographic events in the genomic era agamids remain poorly studied compared to their lizard counterparts in particular anolis lizards this study is the first largescale genomics project considering agamid ecology and evolution in china and australia two megabiodiverse countries that have remained geographically isolated since the cretaceous",1
"text","agerelated thymic involution is closely associated with immunosenescence inflammaging and autoimmune disorders however the spatiotemporal features of developmental and aging thymus remain unknown here we constructed a spatiotemporal landscape of murine thymus from newborns to the aged using the selfdeveloped spatial enhanced resolution omicssequencing stereoseq and singlecell rna sequencing scrnaseq",1
"text","agl16 bound to promoters of more than 2000 genes via cargbox motifs with high similarity to that of soc1 in arabidopsis thaliana approximately seventy flowering genes involved in multiple pathways were potential targets of agl16 agl16 formed a protein complex with soc1 and shared a common set of targets intriguingly only a limited number of genes were differentially expressed in the agl161 lossoffunction mutant however in the soc12 knockout background agl16 repressed and activated the expression of 375 and 182 genes respectively with more than a quarter bound by agl16",1
"text","agropyron mongolicum hibernaculum transcriptome data",1
"text","ahead of print",1
"text","aim hepatic fibrosis is a major worldwide medical problem and can develop into liver cirrhosis and hepatocellular carcinomahcc until now there are no effective drugs for liver ﬁbrosis because the molecular mechanism of progression of liver fibrosis is not fully understood micrornas mirnas are an important class of small noncoding functional rnas that play a key role in many biological processes the purpose of this study was to clarify how the aberrant expression of mirnas participates in development of the liver fibrosis in rat liver fibrosis model  methods fibrotic and paired normal liver tissues were collected and assesssed by deep sequencing technology mirna proﬁling results were validated by quantitative realtime polymerase chain reaction qrtpcr and bioinformatics was used to predict mirna targets  results nine deregulated mirnas were induced in porcine serum psinduced hepatic fibrosis versus normal liver further analysis revealed several signaling pathways eg gap junction and neuroactive ligandreceptor interaction may be associated with hepatic fibrogenesis  conclusion several mirnas are dysregulated in psinduced hepatic fibrosis and seem to be closely associated with hepatic fibrogenesis these results provide an experimental basis for understanding the mechanism of hepatic fibrosisoverall design we sequenced two samples including case and control each sample has two replicates",1
"text","aimed to investigate the impact of povidone iodine use during delivery on the vaginal microbiome",1
"text","aimed to study the gut microbiome of beagle dog when using an active feeding device",1
"text","alcohol was used to intervene the mouse and the feces of mice were collected for metagenome sequencing the changes of intestinal microorganisms in mice before and after intervention were analyzed and the intervention effect was evaluated and the mechanism was explored",1
"text","alcoholrelated elevation of liver transaminase is associated with gut microbiota in male",1
"text","alkbh5dependent m6a demethylation controls splicing and stability of long 3utr mrnas in male germ cells",1
"text","all patients in the two families were found to carry mutation c1177ct pr1259c of tmc3 gene which is located in a conserved region of tmc3 and the mutation is predicted to reduce protein stability",1
"text","all these raw data were prepared for revealing the unique immune system and adaptation mechanism of horseshoe crabs tachypleus tridentatus",1
"text","allele count of 19973 chinese individuals in the proteintruncating variants study",1
"text","allelochemical coumarin induced changes in transcriptome in eleusine indica",1
"text","allergic disorders are the most common immune related diseases worldwide and its prevalence is growing dramatically in the last few decades especially for preschool kids although the interaction of the immune system with the environment is very critical in the sensitization of allergens there is no direct data demonstrated how earlylife environment exposure benefic the development of immune system in this study we investigated the t cell receptor beta chain tcrb repertoires of a large allergic cohort and compared them with that of healthy controls the tcrb repertoire diversity decreased as aging we found that the tcrb diversity of allergic kids was higher than that of healthy kids in contrast to kids the reversed trend was showed in allergic adults we also found that the proportion of known pathogen specific pkps tcrb increased with aging and peaked in 20 years after 35 years old it began to decrease which agrees with the common sense that an individual has the best immunity in his 2030s the pkps tcrb in allergic kids was significantly lower than that in healthy kids however for allergic adults there is no difference was observed those results suggested that the diverse environment exposure during earlylife is critical for the induction of immune tolerance which can prevent the development of allergy the expansion of allergen associated t cells reflected by the decreased tcrb diversity of allergic adults allows us to identify the allergen specific t cells which can be used to help the diagnose of the allergic disorders",1
"text","alport syndrome as is an inherited glomerular basement membrane gbm disease xlinked as xlas is the most common type of as caused by pathogenic variants in the col4a5 gene a mouse model was needed to explore the pathogenesis and progression of the novel frameshift variant c980983del atgg in col4a5 identified in a male person who was diagnosed with xlas",1
"text","also known as cordyceps sinensis caterpillar fungus dong chong xia cao in chinese yartsa gumba in nepal it is wellknown as a chinese traditional medicine it has received worldwide attention for its pharmaceutical potential and known as himalayan viagra or himalayan gold the fungus grows in the pastures above 3300 meters up to 4000 meters in the himalayan regions despite its increasing high market price the biology of this fungus remains a mystery",1
"text","although circadian clocks oscillate in most cells it has been difficult to detect canonical expression of clock genes in fetal rodent tissues including the fetal liver the oscillation status of fetal clocks and the maternal influence on these clocks have not yet been conclusively defined here we report that when the mother mice are under restricted feeding the expression rhythms of several clock genes can be detected in fetal mouse livers those rhythms although of low amplitude reversed their profiles under opposite feeding cycles suggesting maternal entrainment of the weak fetal liver clocks however bmal1 could show biphasic expression in the fetal livers the expression of some metabolic genes eg insig1 also showed biphasic daily changes in fetal livers possibly as a result of interactions between the unique in utero milieu and the fetal liver clocks regular rhythms of clock gene expression were detected in dissociated fetal hepatocytes in culture differential expression of metabolic genes were found between fetal and adult livers suggesting that metabolic features affected clock amplitude genomewide differences in dna methylation were also found between adult and fetal livers some of those epigenetic changes were likely critical for the developmental changes in clock amplitudesoverall design the whole genome methylation status of two samples fetal and adult were analysed by reduced representational bisulfite sequencing rrbs",1
"text","although database search tools originally developed for shotgun proteome have been widely used in immunopeptidomic mass spectrometry identifications they have been reported to achieve undesirably low sensitivities or high false positive rates as a result of the hugely inflated search space caused by the lack of specific enzymic digestions in immunopeptidome to overcome such a problem we developed a motifguided immunopeptidome database building tool named introspect which is designed to first learn the peptide motifs from high confidence hits in the initial search and then build a targeted database for refined search evaluated on 18 representative hla class i datasets introspect can improve the sensitivity by an average of 76 compared to conventional searches with unspecific digestions while maintaining a very high level of accuracy 96 as confirmed by synthetic validation experiments a distinct advantage of introspect is that it does not depend on any external hla data so that it performs equally well on both wellstudied and poorlystudied hla types unlike the previously developed method spectmhc we have also designed introspect to keep a global fdr that can be conveniently controlled similar to a conventional database search finally we demonstrate the practical value of introspect by discovering neoepitopes from ms data directly an important application in cancer immunotherapies introspect is freely available to download and use",1
"text","although most fishes are ectothermic some including tuna and billfish achieve endothermy through special heat producing tissues which are modified muscles how these heat producing tissues evolved and whether they share convergent molecular mechanisms is unresolved here we generated a highquality mackerel tuna euthynnus affinis genome and investigated the heat producing tissue of this fish through singlenucleus and bulk rna sequencing compared with other teleosts tunaspecific genetic changes are highly associated with muscle differentiation singlenucleus rnaseq revealed a high proportion of specific slow skeletal muscle subtype cells in the heat producing tissues of tuna the marker genes of this cell subtype are associated with the relative sliding of actin and myosin suggesting that endothermy in tuna relies mainly on shivering thermogenesis in contrast crossspecies transcriptome analysis indicated that endothermy in billfish relies mainly on nonshivering thermogenesis nonetheless the heat producing tissues of the different species do share some tissues specifically expressed genes including vascularrelated and mitochondrial genes these results imply that both distinct and shared molecular mechanisms are employed by organisms to achieve the same goals in this case endothermy in teleosts",1
"text","although oocyte quality is the dominant factor determining embryo quality few studies have been conducted to evaluate embryo quality based on the metabolites related to the oocyte monitoring of the targeted metabolomes in the follicular fluid was implemented in 305 donors who were receiving in vitro fertilizationembryo transfer or intracytoplasmic sperm injection during which the embryo quality on day 3 was assumed to be representative of oocyte quality using the supervised machine learning random forest approach a model consisting of 17 features was generated which enabled embryos of good or poor quality to be distinguished the model was extended to samples under certain conditions such as age and ovarian hyperstimulation protocol and enriched features in the discrimination models were selected to facilitate the evaluation of embryo quality the metabolites that were statistically selected were clustered through a weighted gene coexpression network and pathway analysis suggesting that arachidonic acid was significantly correlated with embryo quality",1
"text","although sarscov2mediated inflammation has attracted global health concerns since 2019 its pulmonary immunopathology is not fully understood here we generated a comprehensive cellular and molecular landscape of healthy and covid19 hamster lungs at different timepoints after infection using singlecell rna sequencing and spatial transcriptomic sequencing to map the entire progression of covid19 we found sarscov2 could infect naïve t cells and induced cell death to decrease t cell number at the early stage of covid19 besides we observed the activation and depletion of tissue resident myeloid cells after infection the accumulation of isg12cst7 neutrophils and il10spp1 m2like macrophages to clean up virus and resolve inflammation finally we identified trem2am and fbp1am subsets during the resolution stage of covid19 our study provided spatiotemporallyresolved insights into the lung cells transcriptome identified distinct tissue regions of viral infection lung injury repair and remodeling",1
"text","although significant progress has been made in assembling phased genomes using longread sequencing and parental information obtaining chromosomelevel phased genomes using gamete genetic information and longread sequencing is an ideal approach in this study we adopted pacbio hifi and hic sequencing on a  male landrace pig and singlesperm sequencing on its 102 sperm cells we developed a novel haplotype assembly method based on the characteristics of longread sequencing and sperm genetic information",1
"text","although tcell receptor sequencing and singlecell rnaseq techniques have been largely utilized in the past four years and some methods based on data generated by these techniques to predict neoantigenspecific tcrs have been developed it is still difficult to identify these tcrs specificity of neoantigens because of lacking effective methods we employed droplet microfluidics and scrnaseq to build a platform for screening the neoantigen specificity of candidate tcrs in a high throughput manner the scrnaseq data of jurkat cells expressing dmf5 of two samples stimulated by mart12635 peptide presented by hla10201 of t2 cellline and two samples without stimulation were stored in the repository",1
"text","although the nsclc diagnostic standards recommend the detection of driver gene mutation comprehensive genomic profiling has not been used widely in clinical practice as to the different mutation spectrum characteristics between populations the research based on chinese nsclc cohort is very important for clinical practice therefore we collected 563 surgical specimens from patients with nonsmall cell lung carcinoma and applied capturebased sequencing using eightgene panel we identified 556 variants with 416 potentially actionable variants in 5488 309563 patients these single nucleotide variants insertions and deletions were most commonly found in egfr 55 followed by erbb2 12 kras 11 pik3ca 9 met 8 braf 7 ddr2 2 nras 03 by using ten protein function prediction algorithms we also identified 30 novel potentially pathogenic variants ninetyeight patients harbored efgr exon 21 pl858r mutation and the catalytic domain of the protein tyrosine kinase ptkc in egfr is largely mutated in addition there were nine frequent pathogenic variants found in 5 or more patients this data provides the potential molecular basis for directing the treatment of lung cancer",1
"text","although yarkand hare lepus yarkandensis günther 1875 is endemic to oasis and desert areas around the tarim basin in the xinjiang uyghur autonomous region northwestern china the genomewide genetic information remains limited moreover the genetic variation genetic structure and phylogenetic relationship of this species from plateau mountain regions have not been reported the specificlength amplified fragment sequencing slafseq technology was used for the first time to evaluate the genetic diversity of 76 yarkand hares from seven geographic populations in northern and southwestern parts of the tarim basin aiming to investigate singlenucleotide polymorphism snp markerbased population differentiation and evolutionary processes selective sweep analysis was conducted to identify genetic differences between populations",1
"text","although the national comprehensive cancer network and the chinese society of clinical oncology 
guidelines recommend comprehensive genomic profiling of lung adenocarcinoma it has not been 
widely applied in chinese hospitals this observational study aimed to determine realworld evidence 
of whether comprehensive genomic profiling can benefit the survival of patients with lung cancer we 
investigated the frequency of genomic alterations treatment strategies and clinical outcomes in 233 
patients with advanced nonsmall cell lung carcinoma who were routinely screened using a 508gene 
panel",1
"text","alticorpus geoffreyi genome reference project",1
"text","ambrosia trifida also known as giant ragweed is an invasive annual flowering herbaceous plant from the family asteraceae which originated from north america ragweed pollen is known for its high potential to cause type i allergic reactions in late summer and autumn and constitutes a major health problem we construct a reference genome of giant ragweed with hifi reads and performed extensive genomewide analysis to pollen allergenic genes",1
"text","american paddlefish whole genome sequencing",1
"text","amplicon sequencing of amoa genes from intertidal sediments collected in yancheng wetland jiangsu china using primers aoa83f64aoa518r64",1
"text","an acinetobacter genomic species 3 strain harboring blandm1 gene located at plasmid",1
"text","an imbalance of gut microbiome can lead to decreased antioxidant capacity aging and increased risk of alzheimers disease ad and there is still no effective treatment for alzheimers disease the effects of intestinal microbiome on ad has not been fully clarified the role of each strain has not been determined yet in this study we compared the gut microbiota between wildtype and ad model mice appps1 transgenic mice at the ages of 1 2 3 6 9 months by next generation sequencing the bacterial 16s ribosomal rna genes",1
"text","an improved azadirachta indica genome 14 chromosomes comprising 22366 mb with a contign50 value of 891 mb and a melia azedarach genome assembly 14 chromosomes comprising 23716 mb with a contign50 of 807mb were reported",1
"text","an integrated multiomics approach reveals biosynthesis and regulatory mechanisms of polymethoxyflavones pmfs of citrus chachiensis",1
"text","an2 was thought to be the key gene inducing the fruit color differentiation of lycium barbarum and lycium ruthenicum but there was no direct evidence in this study an2 from l ruhtenicum was overexpressed in l barbarum to conform its function in regulating anthocyanin biosynthesis the results showed that the stems leaves and fruits of transgenic plants were purple and contained significantly higher anthocyanin levels compared to the wildtype plants transcriptome analysis of leaf and fruit identified 5832 differentially expressed genes degs in leaves and 2029 degs in fruits with 910 genes common to both tissues go and kegg pathway enrichment analyses indicated a significant impact of lran2 on flavonoid biosynthesis and anthocyanin biosynthesis the structural genes involved in the anthocyanin pathway such as 4cl chs f3h f35h dfr ans and ufgt were upregulated in transgenic lines while the expression of transcription factors bhlh and wd40 were remained unchanged these findings confirm the role of lran2 in the color differentiation of l barbarum and l ruthenicum and highlight its potential for the genetic enhancement of anthocyanin content in l barbarum and other solanaceae species",1
"text","analysis a chineseorigin rhesus macaques t and blymphocyte receptor repertoire using highthroghtput sequencing",1
"text","analysis of intestinal microbial diversity after longterm exposure of bilingol a to medaka",1
"text","analysis of rootzone bacterial communities associated with anthracnose of syq in reclaimed land a201714 is an anthracnose tolerant variety b201301 is an anthracnose intolerant variety",1
"text","analysis the difference of several sequencing platforms",1
"text","analyzing gut microbiota characteristics associated with depression based on metagenomic sequencing results",1
"text","analyzing the role of pharyngeal viruses in rheumatoid arthritis through enriched samples of pharyngeal swab viruses",1
"text","anaplastic thyroid cancer atc is a leading lethal tumor and it is resistant to most conventional therapy however recent clinical trials indicated that immunotherapy performed better in atc than in the late stage of papillary thyroid cancer ptc to explore the tumor microenvironment tme we conducted singlecell rna sequencing scrnaseq to profile the cellular landscape of atc",1
"text","anderer text elektronische erstveröffentlichungdocument published electronically",1
"text","angiogenesis plays important roles in physiological and pathologic conditions but the mechanisms underlying this complex process often remain to be elucidated in recently years liquidliquid phase separation llps has emerged as a new concept to explain many cellular functions and diseases however whether llps is involved in angiogenesis have not been studied until now here we investigated the potential role of llps in angiogenesis and endothelial function we found 16hexanediol 16hd an inhibitor of llps but not 25hexanediol 25hd dramatically decreases neovascularization of matrigel plug and angiogenesis response of murine corneal in vivo moreover 16hd but not 25hd inhibits microvessel outgrowth of aortic ring and endothelial network formation the endothelial function of migration proliferation and cell growth are suppressed by 16hd global transcriptional analysis by rnasequencing reveals that 16hd specifically blocks cell cycle and downregulates cell cyclerelated genes including cyclin a1 further experimental data show that 16hd treatment greatly reduces the expression of cyclin a1 but with minimal effect on cyclin d1 cyclin e1 cdk2 and cdk4 the inhibitory effect of 16hd on cyclin a1 is mainly through transcriptional regulation because proteasome inhibitors fails to rescue its expression furthermore overexpression of cyclin a1 in huvecs largely rescues the dysregulated tube formation upon 16hd treatment  our data reveal a critical role of llps inhibitor 16hd in angiogenesis and endothelial function which specifically affects endothelial g1s transition through transcriptional suppression of ccna1 implying llps as a possible novel player to modulate angiogenesis and thus it might represent an interesting therapeutic target to be investigated in clinic angiogenesisrelated diseases in future",1
"text","annales de congrès",1
"text","annual review",1
"text","annual review report",1
"text","annualreport",1
"text","ant colonies with permanent division of labor between castes and highly distinct roles of the sexes have been conceptualized to be superorganisms but extensive adenosinetoinosine atoi editing of nucleartranscribed rnas that can affect castesexspecific transcriptional regulation have remained obscure here we characterized the brain rna editing atlas of queens gynes virgin queens workers and males of monomorium pharaonis by matching rnaseq and dnaseq data",1
"text","anther tissue transcriptome sequencing of male sterile mutant 3662s and fertile wild type 3662f in chinese cabbage",1
"text","antibiotics have profound impacts on the microbial communities living in the human gut where bacterial species harbor and exchange antibiotic resistance genes collectively called resistome human population surveys have demonstrated that gut microbial resistomes reflect local antibiotics usage patterns while previous small cohort studies based on single antibiotic exposures have shown varying degrees of antibiotic impact on the gut microbiota and their associated resistome however the role of resistomes of particular gut species in their ability to persist in the face of antibiotic treatment has not been systematically studiedapplying shotgun sequencing and quantitative metagenomics we analyzed the partial eradication and subsequent regrowth of gut microbiota in 12 healthy young men over a 6 month period following a 4day intervention with three broadspectrum antibiotics the gut microbial communities of the study subjects underwent profound compositional changes due to the treatment but slowly recovered to nearbaseline compositions immediately after the treatment the gut microbiota featured an increased relative abundance of opportunistic and proinflammatory bacterial species and a decreased relative abundance of short chain fatty acid producers while exhibiting an increased functional potential for multidrug efflux pumps and virulence factors these enrichment trends were weaker after 8 days and mostly cleared out after 42 days however 9 common intestinal commensal species found at baseline and associated with short chain fatty production or efficient digestion of polysaccharides remained undetectable in most of the subjects even after 180 dayscarrying genes that confer resistance to the antibiotics used in this multidrug study had specific consequences for the survival and de novo colonization potential of microbial species while species harboring betalactam resistance genes were positively selected during and after the intervention those harboring glycopeptide or aminoglycoside resistance exhibited increased odds of de novo colonization but decreased odds of survival despite a mild longlasting imprint following exposure to three antibiotics the gut microbiota of healthy young adults are resilient to a broadspectrum antibiotic intervention and their recovery process is modulated by antibiotic resistance gene carriage",1
"text","antimicrobial activity",1
"text","antimicrobial resistance amr and pathogens derived from food animals and their associated environments have emerged as a daunting threat to humans from one health perspectives but our understanding of these risks and their key prevention and control point in current increasing intensive breeding industry remains poor by creating an integral composition and risk profile of resistome and microbiome via metagenomics in feces flies dust sewage and soil along the fourstage laying hen production chain we found that the whole production chain was a hotspot for antimicrobial resistance gene arg and pathogens and feces and flies as major risk sources shaped these contaminations",1
"text","antipd1irgd peptide conjugate",1
"text","apap诱导急性肝损伤会造成机体多器官衰竭从而危害生命安全目前除了损伤早期进行nac治疗或者中后期进行肝脏移植外并没有有效的治疗手段因此利用单细胞组学技术进行其内部机制的研究有利于开发有效的治疗方法肝脏内部cd11b髓系细胞在apap肝损伤的多个阶段都发挥重要的作用因此本项目中着重研究cd11b细胞的重要细胞组成功能以及针对性的治疗干预措施从而明确i型干扰素在其功能调节中的作用",1
"text","aphelasterias japonica genome reference project",1
"text","application of microhaplotypes in the field of forensic",1
"text","applicationpdf applicationmsword",1
"text","applicationpdf applicationpdf applicationpdf",1
"text","applied rsearch",1
